Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
36,No,Travel_Rarely,Research & Development,5,4,Science,1,51,2,Female,2,1,Research Scientist,1,Married,34190,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0
33,No,Travel_Frequently,Sales,1,3,Science,1,52,3,Female,4,2,Sales Executive,1,Married,53760,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3
35,No,Travel_Rarely,Research & Development,4,2,Other,1,53,3,Male,3,1,Laboratory Technician,4,Divorced,19510,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0
27,No,Travel_Rarely,Research & Development,2,4,Science,1,54,4,Female,3,1,Laboratory Technician,1,Divorced,23410,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0
26,Yes,Travel_Rarely,Research & Development,25,3,Science,1,55,1,Male,1,1,Laboratory Technician,3,Single,22930,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1
27,No,Travel_Frequently,Sales,8,3,Science,1,56,4,Male,3,3,Sales Executive,3,Single,87260,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7
30,No,Travel_Frequently,Research & Development,1,2,Medical,1,57,3,Female,3,2,Laboratory Technician,4,Single,40110,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7
41,Yes,Travel_Rarely,Research & Development,12,3,Technical Degree,1,58,2,Female,3,5,Research Director,3,Married,195450,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8
34,No,Non-Travel,Sales,23,4,Marketing,1,60,2,Male,3,2,Sales Executive,3,Single,45680,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7
37,No,Travel_Rarely,Research & Development,19,2,Science,1,61,2,Male,3,1,Research Scientist,2,Married,30220,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0
46,No,Travel_Frequently,Sales,5,4,Marketing,1,62,1,Male,3,2,Sales Executive,4,Single,57720,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8
35,No,Travel_Rarely,Research & Development,8,1,Science,1,63,4,Male,4,1,Laboratory Technician,4,Married,22690,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1
48,Yes,Travel_Rarely,Research & Development,1,2,Science,1,64,1,Male,2,3,Laboratory Technician,3,Single,53810,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0
28,Yes,Travel_Rarely,Research & Development,5,4,Technical Degree,1,65,3,Male,3,1,Laboratory Technician,3,Single,34410,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2
44,No,Travel_Rarely,Sales,1,5,Marketing,1,68,2,Female,3,2,Sales Executive,1,Divorced,54540,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3
35,No,Non-Travel,Research & Development,11,2,Medical,1,70,3,Male,2,3,Healthcare Representative,1,Married,98840,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3
26,No,Travel_Rarely,Sales,23,3,Marketing,1,72,3,Female,2,2,Sales Executive,4,Married,41570,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0
33,No,Travel_Frequently,Research & Development,1,2,Science,1,73,1,Female,3,3,Research Director,4,Single,134580,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12
35,No,Travel_Frequently,Sales,18,5,Science,1,74,2,Male,3,3,Sales Executive,1,Married,90690,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8
35,No,Travel_Rarely,Research & Development,23,4,Medical,1,75,3,Female,3,1,Laboratory Technician,1,Married,40140,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2
31,No,Travel_Rarely,Research & Development,7,4,Science,1,76,4,Male,3,2,Laboratory Technician,4,Divorced,59150,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7
37,No,Travel_Rarely,Research & Development,1,4,Science,1,77,1,Male,2,2,Manufacturing Director,3,Divorced,59930,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7
32,No,Travel_Rarely,Research & Development,1,3,Medical,1,78,1,Male,3,2,Manufacturing Director,4,Married,61620,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8
38,No,Travel_Frequently,Research & Development,29,5,Science,1,79,4,Female,3,2,Laboratory Technician,4,Single,24060,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9
50,No,Travel_Rarely,Research & Development,7,2,Medical,1,80,2,Female,2,5,Research Director,3,Divorced,187400,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8
59,No,Travel_Rarely,Sales,25,3,Science,1,81,1,Female,3,3,Sales Executive,1,Single,76370,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9
36,No,Travel_Rarely,Research & Development,8,3,Technical Degree,1,83,3,Female,3,3,Healthcare Representative,3,Divorced,100960,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8
55,No,Travel_Rarely,Research & Development,8,3,Medical,1,84,4,Female,3,4,Manager,3,Divorced,147560,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2
36,No,Travel_Frequently,Research & Development,11,3,Science,1,85,2,Male,2,2,Manufacturing Director,2,Single,64990,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3
45,No,Travel_Rarely,Research & Development,7,3,Science,1,86,2,Male,3,3,Research Scientist,1,Divorced,97240,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0
35,No,Travel_Frequently,Research & Development,1,3,Medical,1,88,2,Male,3,1,Research Scientist,1,Married,21940,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2
36,Yes,Travel_Rarely,Research & Development,9,3,Medical,1,90,4,Male,2,1,Research Scientist,3,Married,33880,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0
59,No,Travel_Frequently,Sales,1,1,Science,1,91,1,Female,2,2,Sales Executive,3,Single,54730,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3
29,No,Travel_Rarely,Research & Development,2,3,Science,1,94,3,Male,3,1,Research Scientist,2,Married,27030,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4
31,No,Travel_Rarely,Research & Development,1,4,Medical,1,95,3,Male,3,1,Research Scientist,2,Single,25010,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0
32,No,Travel_Rarely,Research & Development,1,3,Science,1,96,2,Male,3,2,Research Scientist,2,Married,62200,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9
36,No,Travel_Rarely,Research & Development,6,3,Science,1,97,2,Female,4,1,Laboratory Technician,4,Married,30380,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0
31,No,Travel_Rarely,Research & Development,8,4,Science,1,98,3,Female,3,2,Manufacturing Director,4,Single,44240,1,Y,No,23,4,4,80,0,11,2,3,11,7,1,8
35,No,Travel_Rarely,Sales,1,4,Marketing,1,100,3,Male,2,2,Sales Executive,1,Single,43120,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8
45,No,Travel_Rarely,Research & Development,6,4,Other,1,101,4,Male,3,3,Research Director,1,Married,132450,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0
37,No,Travel_Rarely,Research & Development,7,4,Medical,1,102,1,Male,3,3,Research Director,3,Single,136640,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2
46,No,Travel_Rarely,Human Resources,5,2,Medical,1,103,2,Male,3,2,Human Resources,2,Divorced,50210,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2
30,No,Travel_Rarely,Research & Development,1,1,Science,1,104,4,Male,2,2,Laboratory Technician,4,Married,51260,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0
35,No,Travel_Rarely,Research & Development,1,3,Medical,1,105,2,Male,2,1,Research Scientist,3,Single,28590,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4
55,No,Travel_Rarely,Sales,1,2,Science,1,106,1,Male,3,3,Sales Executive,4,Married,102390,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0
38,No,Non-Travel,Research & Development,6,3,Medical,1,107,2,Female,1,2,Research Scientist,4,Divorced,53290,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9
34,No,Travel_Rarely,Research & Development,1,2,Medical,1,110,1,Male,3,2,Manufacturing Director,2,Married,43250,1,Y,No,15,3,3,80,0,5,2,3,5,2,1,3
56,No,Travel_Rarely,Research & Development,7,3,Science,1,112,4,Male,1,3,Manufacturing Director,4,Single,72600,4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2
23,No,Travel_Rarely,Sales,2,1,Technical Degree,1,113,3,Male,3,1,Sales Representative,1,Divorced,23220,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0
51,No,Travel_Rarely,Research & Development,9,4,Science,1,116,4,Male,3,1,Laboratory Technician,4,Married,20750,3,Y,No,23,4,2,80,2,10,4,3,4,2,0,3
30,No,Travel_Rarely,Research & Development,2,3,Science,1,117,3,Male,2,2,Healthcare Representative,4,Married,41520,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8
46,Yes,Travel_Rarely,Sales,9,2,Medical,1,118,3,Male,2,3,Sales Executive,4,Single,96190,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7
40,No,Travel_Frequently,Research & Development,1,4,Science,1,119,3,Male,2,4,Healthcare Representative,2,Married,135030,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11
51,No,Travel_Rarely,Sales,21,4,Marketing,1,120,3,Male,3,2,Sales Executive,4,Single,54410,0,Y,Yes,22,4,4,80,0,11,2,1,10,7,1,0
30,No,Travel_Rarely,Sales,4,2,Medical,1,121,3,Female,2,2,Sales Executive,2,Divorced,52090,1,Y,Yes,12,3,2,80,3,11,4,2,11,8,2,7
46,No,Travel_Frequently,Research & Development,1,3,Medical,1,124,3,Male,2,3,Healthcare Representative,1,Married,106730,2,Y,Yes,13,3,3,80,1,21,5,2,10,9,9,5
32,No,Travel_Rarely,Sales,6,4,Medical,1,125,2,Male,3,2,Sales Executive,3,Single,50100,1,Y,No,16,3,1,80,0,12,0,3,11,8,5,7
54,No,Travel_Rarely,Research & Development,2,4,Technical Degree,1,126,1,Female,3,3,Research Director,3,Married,135490,9,Y,No,12,3,1,80,1,16,5,1,4,3,0,3
24,No,Travel_Rarely,Sales,3,2,Other,1,128,1,Female,3,2,Sales Executive,3,Married,49990,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2
28,No,Non-Travel,Sales,4,3,Medical,1,129,2,Male,3,2,Sales Executive,3,Married,42210,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4
58,No,Travel_Rarely,Sales,10,4,Medical,1,131,4,Male,3,4,Sales Executive,3,Single,138720,0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8
44,No,Non-Travel,Research & Development,23,3,Medical,1,132,2,Male,3,2,Laboratory Technician,2,Married,20420,4,Y,No,12,3,3,80,1,17,3,4,3,2,1,2
37,Yes,Travel_Rarely,Human Resources,6,4,Human Resources,1,133,3,Male,3,1,Human Resources,1,Divorced,20730,4,Y,Yes,22,4,4,80,0,7,3,3,3,2,0,2
32,No,Travel_Rarely,Research & Development,1,1,Science,1,134,4,Male,3,1,Research Scientist,1,Single,29560,1,Y,No,13,3,4,80,0,1,2,3,1,0,0,0
20,Yes,Travel_Frequently,Research & Development,6,3,Science,1,137,4,Female,2,1,Laboratory Technician,4,Single,29260,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0
34,No,Travel_Rarely,Research & Development,6,4,Other,1,138,1,Female,3,2,Research Scientist,3,Single,48090,1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10
37,No,Non-Travel,Research & Development,2,2,Science,1,139,3,Male,2,2,Healthcare Representative,4,Divorced,51630,5,Y,No,14,3,4,80,1,17,2,4,1,0,0,0
59,No,Non-Travel,Human Resources,2,4,Human Resources,1,140,3,Female,2,5,Manager,4,Married,188440,9,Y,No,21,4,4,80,1,30,3,3,3,2,2,2
50,No,Travel_Frequently,Research & Development,1,3,Science,1,141,1,Female,3,5,Research Director,2,Married,181720,3,Y,Yes,19,3,1,80,0,28,1,2,8,3,0,7
25,Yes,Travel_Rarely,Sales,5,3,Marketing,1,142,3,Male,2,2,Sales Executive,3,Single,57440,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3
25,No,Travel_Rarely,Research & Development,7,1,Medical,1,143,4,Male,2,1,Research Scientist,4,Married,28890,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1
22,No,Travel_Rarely,Research & Development,15,3,Medical,1,144,2,Female,3,1,Laboratory Technician,4,Single,28710,1,Y,No,15,3,3,80,0,1,5,3,0,0,0,0
51,No,Travel_Frequently,Research & Development,1,4,Medical,1,145,1,Female,2,3,Healthcare Representative,1,Single,74840,3,Y,No,20,4,3,80,0,23,1,2,13,12,12,8
34,Yes,Travel_Frequently,Research & Development,7,3,Science,1,147,1,Male,1,2,Laboratory Technician,3,Single,60740,1,Y,Yes,24,4,4,80,0,9,3,3,9,7,0,6
54,No,Non-Travel,Human Resources,26,3,Human Resources,1,148,4,Female,4,4,Manager,4,Single,173280,2,Y,Yes,12,3,3,80,0,23,3,3,5,3,4,4
24,No,Travel_Rarely,Research & Development,18,1,Science,1,150,2,Male,3,1,Laboratory Technician,3,Married,27740,0,Y,No,12,3,3,80,1,6,2,3,5,3,1,2
34,No,Travel_Rarely,Research & Development,6,4,Science,1,151,3,Female,2,2,Research Scientist,2,Divorced,45050,6,Y,No,15,3,3,80,1,12,3,3,1,0,0,0
37,No,Travel_Rarely,Sales,3,3,Science,1,152,3,Male,3,3,Sales Executive,4,Single,74280,2,Y,No,12,3,1,80,0,12,3,3,5,3,1,3
34,No,Travel_Rarely,Research & Development,5,3,Medical,1,153,3,Female,2,3,Manager,1,Single,116310,2,Y,No,12,3,4,80,0,14,6,3,11,10,5,8
36,No,Travel_Frequently,Sales,11,2,Technical Degree,1,154,2,Female,3,3,Sales Executive,4,Married,97380,0,Y,No,14,3,3,80,1,10,6,3,9,7,2,8
36,No,Travel_Rarely,Research & Development,3,2,Science,1,155,1,Female,3,1,Laboratory Technician,4,Divorced,28350,5,Y,No,22,4,1,80,1,7,2,3,1,0,0,0
43,No,Travel_Frequently,Sales,26,2,Science,1,158,3,Male,3,4,Manager,4,Married,169590,1,Y,Yes,12,3,4,80,2,25,3,4,25,12,4,12
30,No,Travel_Frequently,Research & Development,23,3,Science,1,159,1,Male,1,1,Research Scientist,3,Divorced,26130,1,Y,No,25,4,3,80,3,10,2,2,10,7,0,9
33,No,Non-Travel,Sales,22,2,Marketing,1,160,3,Male,3,2,Sales Executive,2,Married,61460,0,Y,No,13,3,1,80,1,8,2,4,7,7,0,7
56,Yes,Travel_Rarely,Research & Development,14,4,Science,1,161,2,Female,3,1,Research Scientist,2,Married,49630,9,Y,Yes,18,3,1,80,3,7,2,3,5,4,4,3
51,No,Travel_Rarely,Research & Development,6,3,Science,1,162,1,Male,3,5,Research Director,3,Single,195370,7,Y,No,13,3,3,80,0,23,5,3,20,18,15,15
31,Yes,Travel_Rarely,Sales,6,4,Science,1,163,2,Male,1,2,Sales Executive,3,Married,61720,4,Y,Yes,18,3,2,80,0,12,3,2,7,7,7,7
26,No,Travel_Rarely,Research & Development,6,3,Other,1,164,3,Female,2,1,Research Scientist,2,Married,23680,1,Y,No,19,3,3,80,0,5,3,2,5,4,4,3
58,Yes,Travel_Rarely,Research & Development,23,4,Medical,1,165,4,Female,3,3,Healthcare Representative,4,Married,103120,1,Y,No,12,3,4,80,1,40,3,2,40,10,15,6
19,Yes,Travel_Rarely,Sales,22,1,Marketing,1,167,4,Male,3,1,Sales Representative,3,Single,16750,1,Y,Yes,19,3,4,80,0,0,2,2,0,0,0,0
22,No,Travel_Rarely,Research & Development,2,1,Technical Degree,1,169,3,Male,3,1,Laboratory Technician,4,Married,25230,0,Y,No,14,3,3,80,1,3,2,3,2,1,2,1
49,No,Travel_Rarely,Research & Development,20,4,Medical,1,170,3,Female,3,2,Manufacturing Director,1,Married,65670,1,Y,No,14,3,3,80,0,16,2,2,15,11,5,11
43,No,Travel_Frequently,Research & Development,28,3,Medical,1,171,2,Female,4,1,Research Scientist,3,Single,47390,4,Y,No,12,3,4,80,0,18,2,3,3,2,1,2
50,No,Travel_Frequently,Sales,12,3,Marketing,1,174,3,Female,3,3,Sales Executive,4,Single,92080,4,Y,No,11,3,4,80,0,16,3,3,2,2,2,1
31,Yes,Travel_Rarely,Sales,20,3,Science,1,175,2,Female,1,2,Sales Executive,3,Married,45590,3,Y,Yes,11,3,3,80,1,4,2,3,2,2,2,2
41,No,Travel_Rarely,Sales,9,1,Science,1,176,3,Male,3,3,Sales Executive,3,Divorced,81890,3,Y,Yes,13,3,3,80,1,12,2,3,9,7,0,7
26,No,Travel_Rarely,Human Resources,25,1,Science,1,177,3,Female,3,1,Human Resources,3,Married,29420,1,Y,No,23,4,4,80,1,8,3,3,8,7,5,7
36,No,Travel_Rarely,Research & Development,6,2,Medical,1,178,2,Male,3,2,Manufacturing Director,2,Divorced,49410,6,Y,No,20,4,4,80,2,7,0,3,3,2,0,1
51,Yes,Travel_Frequently,Research & Development,8,4,Science,1,179,1,Male,1,3,Manufacturing Director,4,Single,106500,2,Y,No,15,3,4,80,0,18,2,3,4,2,0,3
39,No,Travel_Rarely,Sales,4,4,Science,1,182,4,Female,2,2,Sales Executive,3,Married,59020,4,Y,No,14,3,3,80,1,17,1,4,15,11,5,9
25,No,Travel_Rarely,Sales,28,3,Science,1,183,1,Male,2,2,Sales Executive,3,Married,86390,2,Y,No,18,3,4,80,0,6,3,3,2,2,2,2
30,No,Travel_Rarely,Human Resources,9,3,Human Resources,1,184,3,Male,3,2,Human Resources,4,Married,63470,0,Y,Yes,19,3,4,80,0,12,2,1,11,9,4,7
32,Yes,Travel_Rarely,Research & Development,9,3,Medical,1,190,1,Female,3,1,Laboratory Technician,1,Single,42000,7,Y,No,22,4,1,80,0,10,2,4,5,4,0,4
45,No,Travel_Rarely,Research & Development,29,3,Medical,1,192,3,Male,3,1,Research Scientist,4,Single,34520,5,Y,No,13,3,2,80,0,9,2,2,6,5,0,3
38,No,Travel_Rarely,Research & Development,3,5,Technical Degree,1,193,4,Female,3,2,Research Scientist,3,Single,43170,3,Y,Yes,20,4,2,80,0,19,2,3,3,2,2,2
30,No,Travel_Rarely,Research & Development,18,3,Science,1,194,1,Female,3,1,Research Scientist,3,Single,26320,1,Y,No,14,3,3,80,0,5,4,2,5,4,0,4
32,No,Travel_Frequently,Sales,9,2,Medical,1,195,4,Male,1,2,Sales Executive,4,Divorced,46680,0,Y,No,17,3,4,80,3,9,2,4,8,7,0,7
30,No,Travel_Rarely,Research & Development,5,3,Technical Degree,1,197,4,Female,3,1,Research Scientist,1,Divorced,32040,5,Y,No,14,3,4,80,1,8,3,3,3,2,2,2
30,No,Travel_Rarely,Research & Development,2,1,Medical,1,198,2,Male,2,1,Laboratory Technician,4,Single,27200,0,Y,No,13,3,4,80,0,6,3,3,5,3,1,2
41,No,Travel_Frequently,Research & Development,10,3,Science,1,199,4,Male,2,4,Manager,1,Divorced,171810,4,Y,No,13,3,2,80,1,21,2,2,7,6,7,7
41,No,Travel_Rarely,Research & Development,9,4,Science,1,200,3,Male,3,1,Laboratory Technician,1,Married,22380,2,Y,No,21,4,4,80,1,7,2,3,5,0,1,4
19,No,Travel_Rarely,Research & Development,3,1,Medical,1,201,2,Female,3,1,Laboratory Technician,2,Single,14830,1,Y,No,14,3,4,80,0,1,3,3,1,0,0,0
40,No,Travel_Frequently,Research & Development,26,3,Medical,1,202,2,Female,3,2,Research Scientist,2,Divorced,56050,1,Y,No,11,3,1,80,1,20,2,3,20,7,2,13
35,No,Travel_Rarely,Sales,1,5,Marketing,1,204,3,Male,3,3,Sales Executive,2,Married,72950,1,Y,No,13,3,1,80,2,10,3,3,10,8,0,6
53,No,Travel_Rarely,Sales,6,2,Marketing,1,205,2,Male,3,2,Sales Representative,3,Married,23060,2,Y,Yes,20,4,4,80,1,13,3,1,7,7,4,5
45,No,Travel_Rarely,Research & Development,9,3,Science,1,206,2,Male,3,2,Laboratory Technician,2,Divorced,23480,8,Y,No,18,3,3,80,1,20,2,1,17,9,0,15
32,No,Travel_Frequently,Sales,8,3,Marketing,1,207,2,Female,3,3,Sales Executive,4,Single,89980,1,Y,No,14,3,4,80,0,9,2,3,9,8,3,7
